myanmar,mlcts,syllable_count,myanmar_syllables,mlcts_syllables
ကိုယ်ရေးမှတ်တမ်း,kuire:hmattam:,4,ကိုယ်|ရေး|မှတ်|တမ်း,kui|re:|hmat|tam:
ကိုယ်ရေးရာဇဝင်,kuire:raja.wang,5,ကိုယ်|ရေး|ရာ|ဇ|ဝင်,kui|re:|ra|ja.|wang
ကိုယ်ရေးအတ္ထုပ္ပတ္တိ,kuire:a.htu.pa.ti.,6,ကိုယ်|ရေး|အတ်|ထုပ်|ပတ်|တိ,kui|re:|at|htup|pat|ti.
ကိုယ်ရံကြီး,kuiramkri:,3,ကိုယ်|ရံ|ကြီး,kui|ram|kri:
ကိုယ်ရံတော်,kuiramtau,3,ကိုယ်|ရံ|တော်,kui|ram|tau
ကိုယ်ရှိန်သတ်,kuihrinsat,3,ကိုယ်|ရှိန်|သတ်,kui|hrin|sat
ကိုယ်လက်နှီးနှော,kuilakhni:hnau:,4,ကိုယ်|လက်|နှီး|နှော,kui|lak|hni:|hnau:
ကိုယ်လက်သုတ်သင်,kuilaksutsang,4,ကိုယ်|လက်|သုတ်|သင်,kui|lak|sut|sang
ကိုယ်လတ်ကြံ့ခိုင်ရေးလေ့ကျင့်ခန်း,kuilatkram.hkuingre:le.kyang.hkan:,8,ကိုယ်|လတ်|ကြံ့|ခိုင်|ရေး|လေ့|ကျင့်|ခန်း,kui|lat|kram.|hkuing|re:|le.|kyang.|hkan:
ကိုယ်လုပ်,kuilup,2,ကိုယ်|လုပ်,kui|lup
ကိုယ်လုပ်တော်,kuiluptau,3,ကိုယ်|လုပ်|တော်,kui|lup|tau
ကိုယ်လုံးကိုယ်ထည်,kuilum:kuihtany,4,ကိုယ်|လုံး|ကိုယ်|ထည်,kui|lum:|kui|htany
ကိုယ်လုံးကိုယ်ပေါက်,kuilum:kuipauk,4,ကိုယ်|လုံး|ကိုယ်|ပေါက်,kui|lum:|kui|pauk
ကိုယ်လုံးတီး,kuilum:ti:,3,ကိုယ်|လုံး|တီး,kui|lum:|ti:
ကိုယ်လုံးပေါ်မှန်,kuilum:pauhman,4,ကိုယ်|လုံး|ပေါ်|မှန်,kui|lum:|pau|hman
ကိုယ်လေးလက်ဝန်,kuile:lakwan,4,ကိုယ်|လေး|လက်|ဝန်,kui|le:|lak|wan
ကိုယ်လေးလက်ဝန်,kuile:lakwan,4,ကိုယ်|လေး|လက်|ဝန်,kui|le:|lak|wan
ကိုယ်လွတ်ရုန်း,kuilwatrun:,3,ကိုယ်|လွတ်|ရုန်း,kui|lwat|run:
ကိုယ်လွတ်လက်လွတ်,kuilwatlaklwat,4,ကိုယ်|လွတ်|လက်|လွတ်,kui|lwat|lak|lwat
ကိုယ်ဝန်,kuiwan,2,ကိုယ်|ဝန်,kui|wan
ကိုယ်ဝန်,kuiwan,2,ကိုယ်|ဝန်,kui|wan
ကိုယ်ဝန်ဆောင်,kuiwanhcaung,3,ကိုယ်|ဝန်|ဆောင်,kui|wan|hcaung
ကိုယ်ဝန်ဆောင်အင်္ကျီ,kuiwanhcaungangkyi,5,ကိုယ်|ဝန်|ဆောင်|အင်|ကျီ,kui|wan|hcaung|ang|kyi
ကိုယ်ဝန်ပျက်,kuiwanpyak,3,ကိုယ်|ဝန်|ပျက်,kui|wan|pyak
ကိုယ်ဝန်ဖျက်,kuiwanhpyak,3,ကိုယ်|ဝန်|ဖျက်,kui|wan|hpyak
ကိုယ်ဝန်ရှိ,kuiwanhri.,3,ကိုယ်|ဝန်|ရှိ,kui|wan|hri.
ကိုယ်ဟန်ပြမယ်,kuihanpra.mai,4,ကိုယ်|ဟန်|ပြ|မယ်,kui|han|pra.|mai
ကိုယ်၌,kuia.,2,ကိုယ်|၌,kui|a.
ကိုးကန့်,kui:kan.,2,ကိုး|ကန့်,kui:|kan.
ကိုးကား,kui:ka:,2,ကိုး|ကား,kui:|ka:
ကိုးကုန်းကိုးကျင်း,kui:kun:kui:kyang:,4,ကိုး|ကုန်း|ကိုး|ကျင်း,kui:|kun:|kui:|kyang:
ကိုးကွယ်,kui:kwai,2,ကိုး|ကွယ်,kui:|kwai
ကိုးကွယ်ရာ,kui:kwaira,3,ကိုး|ကွယ်|ရာ,kui:|kwai|ra
ကိုးစား,kui:ca:,2,ကိုး|စား,kui:|ca:
ကိုးမီး,kui:mi:,2,ကိုး|မီး,kui:|mi:
ကိုးရိုးကားရား,kui:rui:ka:ra:,4,ကိုး|ရိုး|ကား|ရား,kui:|rui:|ka:|ra:
ကိုးလိုးကန့်လန့်,kui:lui:kan.lan.,4,ကိုး|လိုး|ကန့်|လန့်,kui:|lui:|kan.|lan.
ကိုးသား,kui:sa:,2,ကိုး|သား,kui:|sa:
ကီလို,kilui,2,ကီ|လို,ki|lui
ကီလိုဂရမ်,kiluiga.ram,4,ကီ|လို|ဂ|ရမ်,ki|lui|ga.|ram
ကီလိုမီတာ,kiluimita,4,ကီ|လို|မီ|တာ,ki|lui|mi|ta
ကီလိုဝပ်,kiluiwap,3,ကီ|လို|ဝပ်,ki|lui|wap
ကီလိုဟတ်,kiluihat,3,ကီ|လို|ဟတ်,ki|lui|hat
ကီဝီ,kiwi,2,ကီ|ဝီ,ki|wi
ကုစား,ku.ca:,2,ကု|စား,ku.|ca:
ကုဋီ,ku.ti,2,ကု|ဋီ,ku.|ti
ကုဋေ,ku.te,2,ကု|ဋေ,ku.|te
ကုဋေကုဋာ,ku.teku.ta,4,ကု|ဋေ|ကု|ဋာ,ku.|te|ku.|ta
ကုထုံးကုနည်း,ku.htum:ku.nany:,4,ကု|ထုံး|ကု|နည်း,ku.|htum:|ku.|nany:
ကုဗ,ku.ba.,2,ကု|ဗ,ku.|ba.
ကုမုဒြာ,ku.mu.dra,3,ကု|မု|ဒြာ,ku.|mu.|dra
ကုလသမဂ္ဂ,ku.la.sa.ma.ga.,5,ကု|လ|သ|မဂ်|ဂ,ku.|la.|sa.|mak|ga.
ကုလား,ku.la:,2,ကု|လား,ku.|la:
ကုလားကောက်,ku.la:kauk,3,ကု|လား|ကောက်,ku.|la:|kauk
ကုလားစပါး,ku.la:ca.pa:,4,ကု|လား|စ|ပါး,ku.|la:|ca.|pa:
ကုလားဆင်,ku.la:hcang,3,ကု|လား|ဆင်,ku.|la:|hcang
ကုလားတည်,ku.la:tany,3,ကု|လား|တည်,ku.|la:|tany
ကုလားထိုင်,ku.la:htuing,3,ကု|လား|ထိုင်,ku.|la:|htuing
ကုလားထိုင်လု,ku.la:htuinglu.,4,ကု|လား|ထိုင်|လု,ku.|la:|htuing|lu.
ကုလားပဲ,ku.la:pai:,3,ကု|လား|ပဲ,ku.|la:|pai:
ကုလားဖန်ထိုး,ku.la:hpanhtui:,4,ကု|လား|ဖန်|ထိုး,ku.|la:|hpan|htui:
ကုလားဖြူ,ku.la:hpru,3,ကု|လား|ဖြူ,ku.|la:|hpru
ကုလားမခြေထောက်,ku.la:ma.hkrehtauk,5,ကု|လား|မ|ခြေ|ထောက်,ku.|la:|ma.|hkre|htauk
ကုလားမျက်စိ,ku.la:myakci.,4,ကု|လား|မျက်|စိ,ku.|la:|myak|ci.
ကုလားရွှေ,ku.la:hrwe,3,ကု|လား|ရွှေ,ku.|la:|hrwe
ကုလားသေကုလားမော,ku.la:seku.la:mau:,6,ကု|လား|သေ|ကု|လား|မော,ku.|la:|se|ku.|la:|mau:
ကုလားဟင်း,ku.la:hang:,3,ကု|လား|ဟင်း,ku.|la:|hang:
ကုလားအုတ်,ku.la:ut,3,ကု|လား|အုတ်,ku.|la:|ut
ကုလားအုံးဆောင်းထပ်,ku.la:um:hcaung:htap,5,ကု|လား|အုံး|ဆောင်း|ထပ်,ku.|la:|um:|hcaung:|htap
ကုလားအော်,ku.la:au,3,ကု|လား|အော်,ku.|la:|au
ကုသ,ku.sa.,2,ကု|သ,ku.|sa.
ကုသိုလ်,ku.sui,2,ကု|သိုလ်,ku.|sui
ကုသိုလ်ကံ,ku.suikam,3,ကု|သိုလ်|ကံ,ku.|sui|kam
ကုသိုလ်ရှင်,ku.suihrang,3,ကု|သိုလ်|ရှင်,ku.|sui|hrang
ကုက္ကလံ,ku.ka.lam,3,ကုက်|က|လံ,ku.|ka.|lam
ကုက္ကား,ku.ka:,2,ကုက်|ကား,ku.|ka:
ကုက္ကို,ku.kui,2,ကုက်|ကို,ku.|kui
ကုက္ကုစ္စ,ku.ku.ca.,3,ကုက်|ကုစ်|စ,ku.|kac|ca.
ကုတ်ကတ်,kutkat,2,ကုတ်|ကတ်,kut|kat
ကုတ်ကုတ်ကတ်ကတ်,kutkutkatkat,4,ကုတ်|ကုတ်|ကတ်|ကတ်,kut|kut|kat|kat
ကုတ်ကုတ်ကျစ်ကျစ်,kutkutkyackyac,4,ကုတ်|ကုတ်|ကျစ်|ကျစ်,kut|kut|kyac|kyac
ကုတ်ခြစ်,kuthkrac,2,ကုတ်|ခြစ်,kut|hkrac
ကုတ်ဖဲ့,kuthpai.,2,ကုတ်|ဖဲ့,kut|hpai.
ကုတ်မီးသွေး,kutmi:swe:,3,ကုတ်|မီး|သွေး,kut|mi:|swe:
ကုတ်သဲ,kutsai:,2,ကုတ်|သဲ,kut|sai:
ကုတ်ဟည်း,kuthany:,2,ကုတ်|ဟည်း,kut|hany:
ကုတ်ဟီးနာ,kuthi:na,3,ကုတ်|ဟီး|နာ,kut|hi:|na
ကုန်ကား,kunka:,2,ကုန်|ကား,kun|ka:
ကုန်ကုန်,kunkun,2,ကုန်|ကုန်,kun|kun
ကုန်ကူး,kunku:,2,ကုန်|ကူး,kun|ku:
ကုန်ကျ,kunkya.,2,ကုန်|ကျ,kun|kya.
ကုန်ကျစရိတ်,kunkya.ca.rit,4,ကုန်|ကျ|စ|ရိတ်,kun|kya.|ca.|rit
ကုန်ကြမ်း,kunkram:,2,ကုန်|ကြမ်း,kun|kram:
ကုန်ခန်း,kunhkan:,2,ကုန်|ခန်း,kun|hkan:
ကုန်ချော,kunhkyau:,2,ကုန်|ချော,kun|hkyau:
ကုန်ခြောက်,kunhkrauk,2,ကုန်|ခြောက်,kun|hkrauk
ကုန်စင်အောင်,kuncangaung,3,ကုန်|စင်|အောင်,kun|cang|aung
ကုန်စည်,kuncany,2,ကုန်|စည်,kun|cany
ကုန်စည်ဒိုင်,kuncanyduing,3,ကုန်|စည်|ဒိုင်,kun|cany|duing
ကုန်စည်ပြပွဲ,kuncanypra.pwai:,4,ကုန်|စည်|ပြ|ပွဲ,kun|cany|pra.|pwai:
ကုန်စိမ်း,kuncim:,2,ကုန်|စိမ်း,kun|cim:
ကုန်စိမ်းသည်,kuncim:sany,3,ကုန်|စိမ်း|သည်,kun|cim:|sany
ကုန်စုံဆိုင်,kuncumhcuing,3,ကုန်|စုံ|ဆိုင်,kun|cum|hcuing
ကုန်ဈေးနှုန်း,kunjhe:hnun:,3,ကုန်|ဈေး|နှုန်း,kun|jhe:|hnun:
ကုန်တင်ကား,kuntangka:,3,ကုန်|တင်|ကား,kun|tang|ka:
ကုန်တင်ကုန်ချအလုပ်သမား,kuntangkunhkya.a.lupsa.ma:,8,ကုန်|တင်|ကုန်|ချ|အ|လုပ်|သ|မား,kun|tang|kun|hkya.|a.|lup|sa.|ma:
ကုန်တိုက်,kuntuik,2,ကုန်|တိုက်,kun|tuik
ကုန်တံဆိပ်,kuntamhcip',3,ကုန်|တံ|ဆိပ်,kun|tam|hcip'
ကုန်တွဲ,kuntwai:,2,ကုန်|တွဲ,kun|twai:
ကုန်ထုတ်ကိရိယာ,kunhtutki.ri.ya,5,ကုန်|ထုတ်|ကိ|ရိ|ယာ,kun|htut|ki.|ri.|ya
ကုန်ထုတ်စွမ်းအားစု,kunhtutcwam:a:cu.,5,ကုန်|ထုတ်|စွမ်း|အား|စု,kun|htut|cwam:|a:|cu.
ကုန်ထုတ်လုပ်မှု,kunhtutluphmu.,4,ကုန်|ထုတ်|လုပ်|မှု,kun|htut|lup|hmu.
ကုန်ထုတ်သမဝါယမ,kunhtutsa.ma.waya.ma.,7,ကုန်|ထုတ်|သ|မ|ဝါ|ယ|မ,kun|htut|sa.|ma.|wa|ya.|ma.
ကုန်ထုတ်အရင်းအနှီး,kunhtuta.rang:a.hni:,6,ကုန်|ထုတ်|အ|ရင်း|အ|နှီး,kun|htut|a.|rang:|a.|hni:
ကုန်နုပ်,kunnup,2,ကုန်|နုပ်,kun|nup
ကုန်ပဒေသာဆိုင်,kunpa.desahcuing,5,ကုန်|ပ|ဒေ|သာ|ဆိုင်,kun|pa.|de|sa|hcuing
ကုန်ပစ္စည်း,kunpa.cany:,3,ကုန်|ပစ်|စည်း,kun|pac|cany:
ကုန်ပို့လွှာ,kunpui.hlwa,3,ကုန်|ပို့|လွှာ,kun|pui.|hlwa
ကုန်ပုပ်,kunpup,2,ကုန်|ပုပ်,kun|pup
ကုန်မာ,kunma,2,ကုန်|မာ,kun|ma
ကုန်မျိုးစုံဆိုင်,kunmyui:cumhcuing,4,ကုန်|မျိုး|စုံ|ဆိုင်,kun|myui:|cum|hcuing
ကုန်ရထား,kunra.hta:,3,ကုန်|ရ|ထား,kun|ra.|hta:
ကုန်ရုံ,kunrum,2,ကုန်|ရုံ,kun|rum
ကုန်လုပ်ဆက်ဆံရေး,kunluphcakhcamre:,5,ကုန်|လုပ်|ဆက်|ဆံ|ရေး,kun|lup|hcak|hcam|re:
ကုန်သင်္ဘော,kunsangbhau:,3,ကုန်|သင်|ဘော,kun|sang|bhau:
ကုန်သည်,kunsany,2,ကုန်|သည်,kun|sany
ကုန်သည်ကြီး,kunsanykri:,3,ကုန်|သည်|ကြီး,kun|sany|kri:
ကုန်သည်လေ,kunsanyle,3,ကုန်|သည်|လေ,kun|sany|le
ကုန်သေး,kunse:,2,ကုန်|သေး,kun|se:
ကုန်သွယ်,kunswai,2,ကုန်|သွယ်,kun|swai
ကုန်သွယ်ရေး,kunswaire:,3,ကုန်|သွယ်|ရေး,kun|swai|re:
ကုန်အမှာစာ,kuna.hmaca,4,ကုန်|အ|မှာ|စာ,kun|a.|hma|ca
ကုန်းကြောင်း,kun:kraung:,2,ကုန်း|ကြောင်း,kun:|kraung:
ကုန်းကြောင်းလျှောက်,kun:kraung:hlyauk,3,ကုန်း|ကြောင်း|လျှောက်,kun:|kraung:|hlyauk
ကုန်းခေါင်ခေါင်,kun:hkaunghkaung,3,ကုန်း|ခေါင်|ခေါင်,kun:|hkaung|hkaung
ကုန်းခေါင်ရေဝေး,kun:hkaungrewe:,4,ကုန်း|ခေါင်|ရေ|ဝေး,kun:|hkaung|re|we:
ကုန်းချော,kun:hkyau:,2,ကုန်း|ချော,kun:|hkyau:
ကုန်းစကား,kun:ca.ka:,3,ကုန်း|စ|ကား,kun:|ca.|ka:
ကုန်းစောင်း,kun:caung:,2,ကုန်း|စောင်း,kun:|caung:
ကုန်းတင်,kun:tang,2,ကုန်း|တင်,kun:|tang
ကုန်းတန်း,kun:tan:,2,ကုန်း|တန်း,kun:|tan:
ကုန်းတပ်,kun:tap,2,ကုန်း|တပ်,kun:|tap
ကုန်းတိုက်,kun:tuik,2,ကုန်း|တိုက်,kun:|tuik
ကုန်းတွင်းပိုင်းရာသီဥတု,kun:twang:puing:rasiu.tu.,7,ကုန်း|တွင်း|ပိုင်း|ရာ|သီ|ဥ|တု,kun:|twang:|puing:|ra|si|u.|tu.
ကုန်းနိမ့်,kun:nim.,2,ကုန်း|နိမ့်,kun:|nim.
ကုန်းနှီး,kun:hni:,2,ကုန်း|နှီး,kun:|hni:
ကုန်းပတ်,kun:pat,2,ကုန်း|ပတ်,kun:|pat
ကုန်းပိုး,kun:pui:,2,ကုန်း|ပိုး,kun:|pui:
ကုန်းပေါင်,kun:paung,2,ကုန်း|ပေါင်,kun:|paung
ကုန်းပေါင်ထိုး,kun:paunghtui:,3,ကုန်း|ပေါင်|ထိုး,kun:|paung|htui:
ကုန်းပြင်မြင့်,kun:prangmrang.,3,ကုန်း|ပြင်|မြင့်,kun:|prang|mrang.
ကုန်းဘောင်ကြီး,kun:bhaungkri:,3,ကုန်း|ဘောင်|ကြီး,kun:|bhaung|kri:
ကုန်းဘောင်ခေတ်,kun:bhaunghkat,3,ကုန်း|ဘောင်|ခေတ်,kun:|bhaung|hkat
ကုန်းမ,kun:ma.,2,ကုန်း|မ,kun:|ma.
ကုန်းမူ,kun:mu,2,ကုန်း|မူ,kun:|mu
ကုန်းရုပ်,kun:rup,2,ကုန်း|ရုပ်,kun:|rup
ကုန်းရေသွားယာဉ်,kun:reswa:yany,4,ကုန်း|ရေ|သွား|ယာဉ်,kun:|re|swa:|yany
ကုန်းလမ်း,kun:lam:,2,ကုန်း|လမ်း,kun:|lam:
ကုန်းလယ်စီး,kun:laici:,3,ကုန်း|လယ်|စီး,kun:|lai|ci:
ကုပ်ကမြင်း,kupka.mrang:,3,ကုပ်|က|မြင်း,kup|ka.|mrang:
ကုပ်ကရူး,kupka.ru:,3,ကုပ်|က|ရူး,kup|ka.|ru:
ကုပ်ကလူ,kupka.lu,3,ကုပ်|က|လူ,kup|ka.|lu
ကုပ်ကလောင်,kupka.laung,3,ကုပ်|က|လောင်,kup|ka.|laung
ကုပ်ကုပ်ရုပ်ရုပ်,kupkupruprup,4,ကုပ်|ကုပ်|ရုပ်|ရုပ်,kup|kup|rup|rup
ကုပ်ကျစ်,kupkyac,2,ကုပ်|ကျစ်,kup|kyac
ကုပ်ချောင်းချောင်း,kuphkyaung:hkyaung:,3,ကုပ်|ချောင်း|ချောင်း,kup|hkyaung:|hkyaung:
ကုပ်ဆက်,kuphcak,2,ကုပ်|ဆက်,kup|hcak
ကုပ်နှိပ်,kuphnip',2,ကုပ်|နှိပ်,kup|hnip'
ကုပ်နှိပ်ကြိုး,kuphnip'krui:,3,ကုပ်|နှိပ်|ကြိုး,kup|hnip'|krui:
ကုပ်ပိုး,kuppui:,2,ကုပ်|ပိုး,kup|pui:
ကုပ်သလုပ်,kupsa.lup,3,ကုပ်|သ|လုပ်,kup|sa.|lup
ကုပ်အိမ်,kupim,2,ကုပ်|အိမ်,kup|im
ကုဗ္ဘီး,ku.bhi:,2,ကုဗ်|ဘီး,ku.|bhi:
ကုဗ္ဘီး,ku.bhi:,2,ကုဗ်|ဘီး,ku.|bhi:
ကုမ္ပဏီ,ku.pa.ni,3,ကုမ်|ပ|ဏီ,kum|pa.|ni
ကုမ္ဘဏ်,ku.bhak,2,ကုမ်|ဘဏ်,kum|bhak
ကုမ္မာရီ,ku.mari,3,ကုမ်|မာ|ရီ,kum|ma|ri
ကုံကယ်,kumkai,2,ကုံ|ကယ်,kum|kai
ကုံကုမံ,kumku.mam,3,ကုံ|ကု|မံ,kum|ku.|mam
ကုံင,kumnga.,2,ကုံ|င,kum|nga.
ကုံတွင်,kumtwang,2,ကုံ|တွင်,kum|twang
ကုံထံ,kumhtam,2,ကုံ|ထံ,kum|htam
ကုံလုံ,kumlum,2,ကုံ|လုံ,kum|lum
ကုံးစပ်ထဘီ,kum:caphta.bhi,4,ကုံး|စပ်|ထ|ဘီ,kum:|cap|hta.|bhi
ကုံးစပ်ထဘီ,kum:caphta.bhi,4,ကုံး|စပ်|ထ|ဘီ,kum:|cap|hta.|bhi
ကုံးသီ,kum:si,2,ကုံး|သီ,kum:|si
ကူငွေ,kungwe,2,ကူ|ငွေ,ku|ngwe
ကူညီ,kunyi,2,ကူ|ညီ,ku|nyi
ကူထိုးဗိုး,kuhtui:bui:,3,ကူ|ထိုး|ဗိုး,ku|htui:|bui:
ကူပွန်,kupwan,2,ကူ|ပွန်,ku|pwan
ကူဖော်လောင်ဖက်,kuhpaulaunghpak,4,ကူ|ဖော်|လောင်|ဖက်,ku|hpau|laung|hpak
ကူရွပ်,kurwap,2,ကူ|ရွပ်,ku|rwap
ကူရှင်,kuhrang,2,ကူ|ရှင်,ku|hrang
ကူလီ,kuli,2,ကူ|လီ,ku|li
ကူသယ်ခေါက်သယ်,kusaihkauksai,4,ကူ|သယ်|ခေါက်|သယ်,ku|sai|hkauk|sai
ကူးခပ်,ku:hkap,2,ကူး|ခပ်,ku:|hkap
ကူးချ,ku:hkya.,2,ကူး|ချ,ku:|hkya.
ကူးချည်သန်းချည်,ku:hkyanysan:hkyany,4,ကူး|ချည်|သန်း|ချည်,ku:|hkyany|san:|hkyany
ကူးစက်,ku:cak,2,ကူး|စက်,ku:|cak
ကူးစက်ရောဂါ,ku:cakrau:ga,4,ကူး|စက်|ရော|ဂါ,ku:|cak|rau:|ga
ကူးတို့,ku:tui.,2,ကူး|တို့,ku:|tui.
ကူးတို့ခ,ku:tui.hka.,3,ကူး|တို့|ခ,ku:|tui.|hka.
ကူးတို့ဆိပ်,ku:tui.hcip',3,ကူး|တို့|ဆိပ်,ku:|tui.|hcip'
ကူးတို့လျား,ku:tui.lya:,3,ကူး|တို့|လျား,ku:|tui.|lya:
ကူးနာယဉ်းနာ,ku:nayany:na,4,ကူး|နာ|ယဉ်း|နာ,ku:|na|yany:|na
ကူးပြောင်း,ku:praung:,2,ကူး|ပြောင်း,ku:|praung:
ကူးပြောင်းဆဲကာလ,ku:praung:hcai:kala.,5,ကူး|ပြောင်း|ဆဲ|ကာ|လ,ku:|praung:|hcai:|ka|la.
ကူးလူးဆက်ဆံမှု,ku:lu:hcakhcamhmu.,5,ကူး|လူး|ဆက်|ဆံ|မှု,ku:|lu:|hcak|hcam|hmu.
ကူးသန်း,ku:san:,2,ကူး|သန်း,ku:|san:
ကူးသန်းရောင်းဝယ်ရေး,ku:san:raung:waire:,5,ကူး|သန်း|ရောင်း|ဝယ်|ရေး,ku:|san:|raung:|wai|re:
ကေစိဝါဒ,keci.wada.,4,ကေ|စိ|ဝါ|ဒ,ke|ci.|wa|da.
ကေတိကာတိလုပ်,keti.kati.lup,5,ကေ|တိ|ကာ|တိ|လုပ်,ke|ti.|ka|ti.|lup
ကေဒါ,keda,2,ကေ|ဒါ,ke|da
ကေသရာဇာ,kesa.raja,4,ကေ|သ|ရာ|ဇာ,ke|sa.|ra|ja
ကေသာ,kesa,2,ကေ|သာ,ke|sa
ကောဇာဂြိုဟ်,kau:jagrui,3,ကော|ဇာ|ဂြိုဟ်,kau:|ja|grui
ကောဇာသက္ကရာဇ်,kau:jasa.ka.rak,5,ကော|ဇာ|သက်|က|ရာဇ်,kau:|ja|sak|ka.|rak
ကောဏာဂုံ,kau:nagum,3,ကော|ဏာ|ဂုံ,kau:|na|gum
ကောလာဟလ,kau:laha.la.,4,ကော|လာ|ဟ|လ,kau:|la|ha.|la.
ကောလိသိန်,kau:li.sin,3,ကော|လိ|သိန်,kau:|li.|sin
ကောလိပ်,kau:lip',2,ကော|လိပ်,kau:|lip'
ကောလိပ်ကျောင်းသား,kau:lip'kyaung:sa:,4,ကော|လိပ်|ကျောင်း|သား,kau:|lip'|kyaung:|sa:
ကောလီကြေ,kau:likre,3,ကော|လီ|ကြေ,kau:|li|kre
ကောက်ကစင်း,kaukka.cang:,3,ကောက်|က|စင်း,kauk|ka.|cang:
ကောက်ကာငင်ကာ,kaukkangangka,4,ကောက်|ကာ|ငင်|ကာ,kauk|ka|ngang|ka
ကောက်ကောက်ပါ,kaukkaukpa,3,ကောက်|ကောက်|ပါ,kauk|kauk|pa
ကောက်ကျစ်,kaukkyac,2,ကောက်|ကျစ်,kauk|kyac
ကောက်ကြီး,kaukkri:,2,ကောက်|ကြီး,kauk|kri:
ကောက်ကြောင်း,kaukkraung:,2,ကောက်|ကြောင်း,kauk|kraung:
ကောက်ကွက်,kaukkwak,2,ကောက်|ကွက်,kauk|kwak
ကောက်ကွေ့,kaukkwe.,2,ကောက်|ကွေ့,kauk|kwe.
ကောက်ခံ,kaukhkam,2,ကောက်|ခံ,kauk|hkam
ကောက်ချက်ချ,kaukhkyakhkya.,3,ကောက်|ချက်|ချ,kauk|hkyak|hkya.
ကောက်ငန်း,kaukngan:,2,ကောက်|ငန်း,kauk|ngan:
ကောက်ငယ်,kaukngai,2,ကောက်|ငယ်,kauk|ngai
ကောက်စိုက်,kaukcuik,2,ကောက်|စိုက်,kauk|cuik
ကောက်စိုက်သမ,kaukcuiksa.ma.,4,ကောက်|စိုက်|သ|မ,kauk|cuik|sa.|ma.
ကောက်စော,kaukcau:,2,ကောက်|စော,kauk|cau:
ကောက်ဆန်ကြွေ,kaukhcankrwe,3,ကောက်|ဆန်|ကြွေ,kauk|hcan|krwe
ကောက်ဆိုင်ပုံ,kaukhcuingpum,3,ကောက်|ဆိုင်|ပုံ,kauk|hcuing|pum
ကောက်ဆွ,kaukhcwa.,2,ကောက်|ဆွ,kauk|hcwa.
ကောက်ညှင်း,kaukhnyang:,2,ကောက်|ညှင်း,kauk|hnyang:
ကောက်ညှင်းကျည်တောက်,kaukhnyang:kyanytauk,4,ကောက်|ညှင်း|ကျည်|တောက်,kauk|hnyang:|kyany|tauk
ကောက်ညှင်းငချိပ်,kaukhnyang:nga.hkyip',4,ကောက်|ညှင်း|င|ချိပ်,kauk|hnyang:|nga.|hkyip'
ကောက်ညှင်းပေါင်း,kaukhnyang:paung:,3,ကောက်|ညှင်း|ပေါင်း,kauk|hnyang:|paung:
ကောက်တီ,kaukti,2,ကောက်|တီ,kauk|ti
ကောက်နုတ်,kauknut,2,ကောက်|နုတ်,kauk|nut
ကောက်နုတ်ချက်,kauknuthkyak,3,ကောက်|နုတ်|ချက်,kauk|nut|hkyak
ကောက်ပင်,kaukpang,2,ကောက်|ပင်,kauk|pang
ကောက်ပင်ရိတ်လှီး,kaukpangrithli:,4,ကောက်|ပင်|ရိတ်|လှီး,kauk|pang|rit|hli:
ကောက်ပဲသီးနှံ,kaukpai:si:hnam,4,ကောက်|ပဲ|သီး|နှံ,kauk|pai:|si:|hnam
ကောက်ရ,kaukra.,2,ကောက်|ရ,kauk|ra.
ကောက်ရင်ပန်း,kaukrangpan:,3,ကောက်|ရင်|ပန်း,kauk|rang|pan:
ကောက်ရိတ်,kaukrit,2,ကောက်|ရိတ်,kauk|rit
ကောက်ရိုး,kaukrui:,2,ကောက်|ရိုး,kauk|rui:
ကောက်ရိုးနွယ်,kaukrui:nwai,3,ကောက်|ရိုး|နွယ်,kauk|rui:|nwai
ကောက်ရိုးပုံ,kaukrui:pum,3,ကောက်|ရိုး|ပုံ,kauk|rui:|pum
ကောက်ရိုးမီး,kaukrui:mi:,3,ကောက်|ရိုး|မီး,kauk|rui:|mi:
ကောက်လန်းတီ,kauklan:ti,3,ကောက်|လန်း|တီ,kauk|lan:|ti
ကောက်လျင်,kauklyang,2,ကောက်|လျင်,kauk|lyang
ကောက်လှိုင်း,kaukhluing:,2,ကောက်|လှိုင်း,kauk|hluing:
ကောက်သင်း,kauksang:,2,ကောက်|သင်း,kauk|sang:
ကောက်သင်းကောက်,kauksang:kauk,3,ကောက်|သင်း|ကောက်,kauk|sang:|kauk
ကောက်သင်းကောက်စကား,kauksang:kaukca.ka:,5,ကောက်|သင်း|ကောက်|စ|ကား,kauk|sang:|kauk|ca.|ka:
ကောက်သစ်စားပွဲ,kauksacca:pwai:,4,ကောက်|သစ်|စား|ပွဲ,kauk|sac|ca:|pwai:
ကောက်သားထည့်,kauksa:htany.,3,ကောက်|သား|ထည့်,kauk|sa:|htany.
ကောက်ဦး,kau:,2,ကောက်|ဦး,kauk|u
ကောင်ကလေး,kaungka.le:,3,ကောင်|က|လေး,kaung|ka.|le:
ကောင်စစ်ဝန်,kaungcacwan,3,ကောင်|စစ်|ဝန်,kaung|cac|wan
ကောင်စစ်ဝန်,kaungcacwan,3,ကောင်|စစ်|ဝန်,kaung|cac|wan
ကောင်စစ်ဝန်ရုံး,kaungcacwanrum:,4,ကောင်|စစ်|ဝန်|ရုံး,kaung|cac|wan|rum:
ကောင်စီ,kaungci,2,ကောင်|စီ,kaung|ci
